name,ticker,date,price,shares,market_cap
원익IPS,240810,2019-05-13,24250,49083901.0,1190284599250.0
원익IPS,240810,2019-05-14,24500,49083901.0,1202555574500.0
원익IPS,240810,2019-05-15,24650,49083901.0,1209918159650.0
원익IPS,240810,2019-05-16,24100,49083901.0,1182922014100.0
원익IPS,240810,2019-05-17,24200,49083901.0,1187830404200.0
원익IPS,240810,2019-05-20,23050,49083901.0,1131383918050.0
원익IPS,240810,2019-05-21,23400,49083901.0,1148563283400.0
원익IPS,240810,2019-05-22,23050,49083901.0,1131383918050.0
원익IPS,240810,2019-05-23,21800,49083901.0,1070029041800.0
원익IPS,240810,2019-05-24,21450,49083901.0,1052849676450.0
원익IPS,240810,2019-05-27,21750,49083901.0,1067574846750.0
원익IPS,240810,2019-05-28,22250,49083901.0,1092116797250.0
원익IPS,240810,2019-05-29,21900,49083901.0,1074937431900.0
원익IPS,240810,2019-05-30,22200,49083901.0,1089662602200.0
원익IPS,240810,2019-05-31,22100,49083901.0,1084754212100.0
원익IPS,240810,2019-06-03,22900,49083901.0,1124021332900.0
원익IPS,240810,2019-06-04,22900,49083901.0,1124021332900.0
원익IPS,240810,2019-06-05,23500,49083901.0,1153471673500.0
원익IPS,240810,2019-06-07,22950,49083901.0,1126475527950.0
원익IPS,240810,2019-06-10,23400,49083901.0,1148563283400.0
원익IPS,240810,2019-06-11,24400,49083901.0,1197647184400.0
원익IPS,240810,2019-06-12,23850,49083901.0,1170651038850.0
원익IPS,240810,2019-06-13,23000,49083901.0,1128929723000.0
원익IPS,240810,2019-06-14,22900,49083901.0,1124021332900.0
원익IPS,240810,2019-06-17,22500,49083901.0,1104387772500.0
원익IPS,240810,2019-06-18,22900,49083901.0,1124021332900.0
원익IPS,240810,2019-06-19,23200,49083901.0,1138746503200.0
원익IPS,240810,2019-06-20,23900,49083901.0,1173105233900.0
원익IPS,240810,2019-06-21,23650,49083901.0,1160834258650.0
원익IPS,240810,2019-06-24,23550,49083901.0,1155925868550.0
원익IPS,240810,2019-06-25,23100,49083901.0,1133838113100.0
원익IPS,240810,2019-06-26,23300,49083901.0,1143654893300.0
원익IPS,240810,2019-06-27,24300,49083901.0,1192738794300.0
원익IPS,240810,2019-06-28,23950,49083901.0,1175559428950.0
원익IPS,240810,2019-07-01,24300,49083901.0,1192738794300.0
원익IPS,240810,2019-07-02,24150,49083901.0,1185376209150.0
원익IPS,240810,2019-07-03,24250,49083901.0,1190284599250.0
원익IPS,240810,2019-07-04,24850,49083901.0,1219734939850.0
원익IPS,240810,2019-07-05,24450,49083901.0,1200101379450.0
원익IPS,240810,2019-07-08,22550,49083901.0,1106841967550.0
원익IPS,240810,2019-07-09,22800,49083901.0,1119112942800.0
원익IPS,240810,2019-07-10,23700,49083901.0,1163288453700.0
원익IPS,240810,2019-07-11,24300,49083901.0,1192738794300.0
원익IPS,240810,2019-07-12,24650,49083901.0,1209918159650.0
원익IPS,240810,2019-07-15,24400,49083901.0,1197647184400.0
원익IPS,240810,2019-07-16,24500,49083901.0,1202555574500.0
원익IPS,240810,2019-07-17,23700,49083901.0,1163288453700.0
원익IPS,240810,2019-07-18,24700,49083901.0,1212372354700.0
원익IPS,240810,2019-07-19,24850,49083901.0,1219734939850.0
원익IPS,240810,2019-07-22,26050,49083901.0,1278635621050.0
원익IPS,240810,2019-07-23,25500,49083901.0,1251639475500.0
원익IPS,240810,2019-07-24,25350,49083901.0,1244276890350.0
원익IPS,240810,2019-07-25,25000,49083901.0,1227097525000.0
원익IPS,240810,2019-07-26,24400,49083901.0,1197647184400.0
원익IPS,240810,2019-07-29,23200,49083901.0,1138746503200.0
원익IPS,240810,2019-07-30,24050,49083901.0,1180467819050.0
원익IPS,240810,2019-07-31,24850,49083901.0,1219734939850.0
원익IPS,240810,2019-08-01,23650,49083901.0,1160834258650.0
원익IPS,240810,2019-08-02,23900,49083901.0,1173105233900.0
원익IPS,240810,2019-08-05,23150,49083901.0,1136292308150.0
원익IPS,240810,2019-08-06,21750,49083901.0,1067574846750.0
원익IPS,240810,2019-08-07,22950,49083901.0,1126475527950.0
원익IPS,240810,2019-08-08,23350,49083901.0,1146109088350.0
원익IPS,240810,2019-08-09,23400,49083901.0,1148563283400.0
원익IPS,240810,2019-08-12,23450,49083901.0,1151017478450.0
원익IPS,240810,2019-08-13,23050,49083901.0,1131383918050.0
원익IPS,240810,2019-08-14,23850,49083901.0,1170651038850.0
원익IPS,240810,2019-08-16,24400,49083901.0,1197647184400.0
원익IPS,240810,2019-08-19,23900,49083901.0,1173105233900.0
원익IPS,240810,2019-08-20,24350,49083901.0,1195192989350.0
원익IPS,240810,2019-08-21,24500,49083901.0,1202555574500.0
원익IPS,240810,2019-08-22,24100,49083901.0,1182922014100.0
원익IPS,240810,2019-08-23,24250,49083901.0,1190284599250.0
원익IPS,240810,2019-08-26,22650,49083901.0,1111750357650.0
원익IPS,240810,2019-08-27,23200,49083901.0,1138746503200.0
원익IPS,240810,2019-08-28,23500,49083901.0,1153471673500.0
원익IPS,240810,2019-08-29,22600,49083901.0,1109296162600.0
원익IPS,240810,2019-08-30,23500,49083901.0,1153471673500.0
원익IPS,240810,2019-09-02,24200,49083901.0,1187830404200.0
원익IPS,240810,2019-09-03,23900,49083901.0,1173105233900.0
원익IPS,240810,2019-09-04,25700,49083901.0,1261456255700.0
원익IPS,240810,2019-09-05,26850,49083901.0,1317902741850.0
원익IPS,240810,2019-09-06,27350,49083901.0,1342444692350.0
원익IPS,240810,2019-09-09,27050,49083901.0,1327719522050.0
원익IPS,240810,2019-09-10,27400,49083901.0,1344898887400.0
원익IPS,240810,2019-09-11,26600,49083901.0,1305631766600.0
원익IPS,240810,2019-09-16,26750,49083901.0,1312994351750.0
원익IPS,240810,2019-09-17,26350,49083901.0,1293360791350.0
원익IPS,240810,2019-09-18,27250,49083901.0,1337536302250.0
원익IPS,240810,2019-09-19,27700,49083901.0,1359624057700.0
원익IPS,240810,2019-09-20,28200,49083901.0,1384166008200.0
원익IPS,240810,2019-09-23,28050,49083901.0,1376803423050.0
원익IPS,240810,2019-09-24,27600,49083901.0,1354715667600.0
원익IPS,240810,2019-09-25,28550,49083901.0,1401345373550.0
원익IPS,240810,2019-09-26,28550,49083901.0,1401345373550.0
원익IPS,240810,2019-09-27,28500,49083901.0,1398891178500.0
원익IPS,240810,2019-09-30,28900,49083901.0,1418524738900.0
원익IPS,240810,2019-10-01,29250,49083901.0,1435704104250.0
원익IPS,240810,2019-10-02,28800,49083901.0,1413616348800.0
원익IPS,240810,2019-10-04,28750,49083901.0,1411162153750.0
원익IPS,240810,2019-10-07,29200,49083901.0,1433249909200.0
원익IPS,240810,2019-10-08,29850,49083901.0,1465154444850.0
원익IPS,240810,2019-10-10,29150,49083901.0,1430795714150.0
원익IPS,240810,2019-10-11,29200,49083901.0,1433249909200.0
원익IPS,240810,2019-10-14,29750,49083901.0,1460246054750.0
원익IPS,240810,2019-10-15,31100,49083901.0,1526509321100.0
원익IPS,240810,2019-10-16,31250,49083901.0,1533871906250.0
원익IPS,240810,2019-10-17,31400,49083901.0,1541234491400.0
원익IPS,240810,2019-10-18,30950,49083901.0,1519146735950.0
원익IPS,240810,2019-10-21,31550,49083901.0,1548597076550.0
원익IPS,240810,2019-10-22,32200,49083901.0,1580501612200.0
원익IPS,240810,2019-10-23,32400,49083901.0,1590318392400.0
원익IPS,240810,2019-10-24,32000,49083901.0,1570684832000.0
원익IPS,240810,2019-10-25,32800,49083901.0,1609951952800.0
원익IPS,240810,2019-10-28,33700,49083901.0,1654127463700.0
원익IPS,240810,2019-10-29,33100,49083901.0,1624677123100.0
원익IPS,240810,2019-10-30,32950,49083901.0,1617314537950.0
원익IPS,240810,2019-10-31,33150,49083901.0,1627131318150.0
원익IPS,240810,2019-11-01,32550,49083901.0,1597680977550.0
원익IPS,240810,2019-11-04,33950,49083901.0,1666398438950.0
원익IPS,240810,2019-11-05,33150,49083901.0,1627131318150.0
원익IPS,240810,2019-11-06,32200,49083901.0,1580501612200.0
원익IPS,240810,2019-11-07,32450,49083901.0,1592772587450.0
원익IPS,240810,2019-11-08,30900,49083901.0,1516692540900.0
원익IPS,240810,2019-11-11,31450,49083901.0,1543688686450.0
원익IPS,240810,2019-11-12,31600,49083901.0,1551051271600.0
원익IPS,240810,2019-11-13,31100,49083901.0,1526509321100.0
원익IPS,240810,2019-11-14,32600,49083901.0,1600135172600.0
원익IPS,240810,2019-11-15,32900,49083901.0,1614860342900.0
원익IPS,240810,2019-11-18,32550,49083901.0,1597680977550.0
원익IPS,240810,2019-11-19,32600,49083901.0,1600135172600.0
원익IPS,240810,2019-11-20,30800,49083901.0,1511784150800.0
원익IPS,240810,2019-11-21,30700,49083901.0,1506875760700.0
원익IPS,240810,2019-11-22,30850,49083901.0,1514238345850.0
원익IPS,240810,2019-11-25,31000,49083901.0,1521600931000.0
원익IPS,240810,2019-11-26,30700,49083901.0,1506875760700.0
원익IPS,240810,2019-11-27,30250,49083901.0,1484788005250.0
원익IPS,240810,2019-11-28,30300,49083901.0,1487242200300.0
원익IPS,240810,2019-11-29,30500,49083901.0,1497058980500.0
원익IPS,240810,2019-12-02,30700,49083901.0,1506875760700.0
원익IPS,240810,2019-12-03,30650,49083901.0,1504421565650.0
원익IPS,240810,2019-12-04,30500,49083901.0,1497058980500.0
원익IPS,240810,2019-12-05,30350,49083901.0,1489696395350.0
원익IPS,240810,2019-12-06,30700,49083901.0,1506875760700.0
원익IPS,240810,2019-12-09,31750,49083901.0,1558413856750.0
원익IPS,240810,2019-12-10,31400,49083901.0,1541234491400.0
원익IPS,240810,2019-12-11,31450,49083901.0,1543688686450.0
원익IPS,240810,2019-12-12,33600,49083901.0,1649219073600.0
원익IPS,240810,2019-12-13,34700,49083901.0,1703211364700.0
원익IPS,240810,2019-12-16,35000,49083901.0,1717936535000.0
원익IPS,240810,2019-12-17,35700,49083901.0,1752295265700.0
원익IPS,240810,2019-12-18,35000,49083901.0,1717936535000.0
원익IPS,240810,2019-12-19,34650,49083901.0,1700757169650.0
원익IPS,240810,2019-12-20,33900,49083901.0,1663944243900.0
원익IPS,240810,2019-12-23,33350,49083901.0,1636948098350.0
원익IPS,240810,2019-12-24,33200,49083901.0,1629585513200.0
원익IPS,240810,2019-12-26,35550,49083901.0,1744932680550.0
원익IPS,240810,2019-12-27,36250,49083901.0,1779291411250.0
원익IPS,240810,2019-12-30,35850,49083901.0,1759657850850.0
원익IPS,240810,2020-01-02,35600,49083901.0,1747386875600.0
원익IPS,240810,2020-01-03,34800,49083901.0,1708119754800.0
원익IPS,240810,2020-01-06,34800,49083901.0,1708119754800.0
원익IPS,240810,2020-01-07,34950,49083901.0,1715482339950.0
원익IPS,240810,2020-01-08,35100,49083901.0,1722844925100.0
원익IPS,240810,2020-01-09,35900,49083901.0,1762112045900.0
원익IPS,240810,2020-01-10,35700,49083901.0,1752295265700.0
