name,ticker,year,quarter,period,period_end,revenue,operating_income,net_income,equity,operating_margin,fs_div
삼성전자,005930,2025,2,2025Q2,2025-06-30,-4574186000000.0,-2009215000000.0,-3106443000000.0,399561967000000.0,43.925083063959356,CFS
삼성전자,005930,2025,3,2025Q3,2025-09-30,11495430000000.0,7490005000000.0,7109312000000.0,413501494000000.0,65.15637083606268,CFS
삼성전자,005930,2025,4,2025Q4,2025-12-31,247544191000000.0,31434989000000.0,32981058000000.0,436320337000000.0,12.698738303255114,CFS
삼성전자,005930,2026,1,2026Q1,2026-03-31,133873444000000.0,57232797000000.0,47225272000000.0,486635976000000.0,42.751419019294076,CFS
HD건설기계,267270,2017,2,2017Q2,2017-06-30,683219975167.0,35789771816.0,26832326110.0,781206022293.0,5.238396580435442,CFS
HD건설기계,267270,2017,3,2017Q3,2017-09-30,-197072345167.0,8432364184.0,5770091890.0,813784904000.0,-4.278816582232467,CFS
HD건설기계,267270,2017,4,2017Q4,2017-12-31,1400599035000.0,51010577000.0,14006291000.0,1170937644000.0,3.6420542728704652,CFS
HD건설기계,267270,2018,1,2018Q1,2018-03-31,930459283000.0,61805890000.0,49765845000.0,1510274363000.0,6.642514200161943,CFS
HD건설기계,267270,2018,2,2018Q2,2018-06-30,-7734452000.0,13337828000.0,-2048038000.0,1580205678000.0,-172.44696844715048,CFS
HD건설기계,267270,2018,3,2018Q3,2018-09-30,-330596233000.0,-37887938000.0,-36709578000.0,1565656490000.0,11.460486907604903,CFS
HD건설기계,267270,2018,4,2018Q4,2018-12-31,2097268047000.0,171476689000.0,130047163000.0,1568166975000.0,8.176193274163778,CFS
HD건설기계,267270,2019,1,2019Q1,2019-03-31,797976501000.0,62732129000.0,52209339000.0,1588536503000.0,7.861400545177206,CFS
HD건설기계,267270,2019,2,2019Q2,2019-06-30,42387692000.0,-12335752000.0,-60418538000.0,1581679341000.0,-29.102202592205302,CFS
HD건설기계,267270,2019,3,2019Q3,2019-09-30,-200683276000.0,-12612662000.0,33993468000.0,1610980958000.0,6.284859531593455,CFS
HD건설기계,267270,2019,4,2019Q4,2019-12-31,2212458246000.0,120008813000.0,25096935000.0,1577143246000.0,5.424229506566697,CFS
HD건설기계,267270,2020,1,2020Q1,2020-03-31,636283178000.0,10668095000.0,1161823000.0,1594075561000.0,1.6766269121765154,CFS
HD건설기계,267270,2020,2,2020Q2,2020-06-30,32141149000.0,31285593000.0,17913109000.0,1598050964000.0,97.3381287644695,CFS
HD건설기계,267270,2020,3,2020Q3,2020-09-30,-44281768000.0,-15679358000.0,-13750695000.0,1612446763000.0,35.408157144945065,CFS
HD건설기계,267270,2020,4,2020Q4,2020-12-31,1993392993000.0,65295228000.0,3180437000.0,1587532834000.0,3.275582297584609,CFS
HD건설기계,267270,2021,1,2021Q1,2021-03-31,964899041000.0,79697461000.0,59442693000.0,1660798379000.0,8.259668381202175,CFS
HD건설기계,267270,2021,2,2021Q2,2021-06-30,-12330460000.0,-8979926000.0,6100649000.0,1735084438000.0,72.82717757488366,CFS
HD건설기계,267270,2021,3,2021Q3,2021-09-30,-138786255000.0,-27677137000.0,-32317917000.0,1792785314000.0,19.942275263497816,CFS
HD건설기계,267270,2021,4,2021Q4,2021-12-31,2470557297000.0,117668438000.0,76547771000.0,1547807571000.0,4.762829752739792,CFS
HD건설기계,267270,2022,1,2022Q1,2022-03-31,932387458000.0,46699977000.0,51074575000.0,1627139674000.0,5.008644914655212,CFS
HD건설기계,267270,2022,2,2022Q2,2022-06-30,-57316948000.0,-9957991000.0,-34096773000.0,1648472633000.0,17.37355415365103,CFS
HD건설기계,267270,2022,3,2022Q3,2022-09-30,-315151000.0,26278700000.0,36525601000.0,1714230550000.0,-8338.447284000367,CFS
HD건설기계,267270,2022,4,2022Q4,2022-12-31,2640856562000.0,107589339000.0,45903241000.0,1667286941000.0,4.074031908742494,CFS
HD건설기계,267270,2023,1,2023Q1,2023-03-31,1018272707000.0,80001340000.0,69501593000.0,1734415661000.0,7.856573140970968,CFS
HD건설기계,267270,2023,2,2023Q2,2023-06-30,13838875000.0,16550869000.0,-1870577000.0,1781290866000.0,119.59692532810651,CFS
HD건설기계,267270,2023,3,2023Q3,2023-09-30,-103389517000.0,-42701716000.0,-34476577000.0,1821840737000.0,41.30178497690438,CFS
